id,NUMPOINTS,lon,lat,grid_size_m
102272,0.0,128.6011812673397,35.89310626718191,100
102273,0.0,128.60116878320406,35.89220482359584,100
102274,6.0,128.60115629962286,35.89130337987041,100
102275,23.0,128.60114381659605,35.89040193600563,100
102276,24.0,128.6011313341236,35.889500492001496,100
102277,10.0,128.60111885220556,35.88859904785801,100
102278,0.0,128.60110637084176,35.887697603575184,100
102279,2.0,128.60109389003236,35.886796159153015,100
102280,0.0,128.6010814097772,35.8858947145915,100
102281,2.0,128.60106893007634,35.88499326989063,100
102282,11.0,128.60105645092966,35.884091825050426,100
102283,10.0,128.6010439723372,35.883190380070886,100
102284,10.0,128.6010314942989,35.882288934951994,100
102285,10.0,128.60101901681475,35.881387489693765,100
102286,21.0,128.60100653988474,35.88048604429622,100
102287,17.0,128.60099406350884,35.879584598759315,100
102730,0.0,128.60228910619466,35.893096103565505,100
102731,9.0,128.6022766095056,35.892194660314054,100
102732,22.0,128.60226411337152,35.89129321692326,100
102733,0.0,128.6022516177924,35.890391773393105,100
102734,0.0,128.60223912276825,35.88949032972359,100
102735,35.0,128.60222662829904,35.88858888591472,100
102736,18.0,128.6022141343846,35.887687441966484,100
102737,10.0,128.60220164102512,35.88678599787891,100
102738,2.0,128.60218914822045,35.88588455365198,100
102739,0.0,128.60217665597057,35.884983109285685,100
102740,0.0,128.6021641642755,35.884081664780055,100
102741,0.0,128.6021516731352,35.88318022013508,100
102742,1.0,128.60213918254965,35.88227877535075,100
102743,0.0,128.60212669251877,35.88137733042707,100
102744,5.0,128.60211420304262,35.880475885364056,100
102745,8.0,128.6021017141211,35.8795744401617,100
103188,18.0,128.60339694449465,35.8930859297329,100
103189,0.0,128.60338443525217,35.892184486816426,100
103190,0.0,128.6033719265653,35.8912830437606,100
103191,0.0,128.6033594184339,35.890381600565405,100
103192,20.0,128.603346910858,35.889480157230835,100
103193,7.0,128.6033344038376,35.888578713756914,100
103194,0.0,128.6033218973726,35.88767727014363,100
103195,0.0,128.60330939146303,35.886775826390966,100
103196,21.0,128.60329688610886,35.88587438249896,100
103197,1.0,128.60328438131006,35.884972938467584,100
103198,0.0,128.6032718770666,35.88407149429686,100
103199,0.0,128.6032593733785,35.88317004998678,100
103200,10.0,128.60324687024567,35.88226860553734,100
103201,0.0,128.60323436766808,35.88136716094855,100
103202,0.0,128.60322186564574,35.88046571622041,100
103203,0.0,128.60320936417867,35.87956427135293,100
103646,0.0,128.60450478223902,35.8930757456841,100
103647,0.0,128.60449226044324,35.892174303102955,100
103648,0.0,128.6044797392035,35.89127286038243,100
103649,18.0,128.60446721851983,35.89037141752253,100
103650,11.0,128.60445469839226,35.88946997452326,100
103651,0.0,128.60444217882073,35.888568531384614,100
103652,0.0,128.60442965980513,35.88766708810659,100
103653,0.0,128.60441714134555,35.886765644689206,100
103654,3.0,128.60440462344192,35.88586420113245,100
103655,16.0,128.60439210609417,35.88496275743633,100
103656,0.0,128.6043795893024,35.88406131360084,100
103657,0.0,128.6043670730665,35.883159869626006,100
103658,11.0,128.60435455738642,35.882258425511786,100
103659,0.0,128.60434204226215,35.88135698125822,100
103660,5.0,128.60432952769372,35.880455536865306,100
103661,0.0,128.60431701368108,35.879554092333024,100
104104,0.0,128.6056126194273,35.89306555141917,100
104105,0.0,128.6056000850781,35.89216410917366,100
104106,3.0,128.60558755128562,35.89126266678878,100
104107,18.0,128.60557501804976,35.8903612242645,100
104108,0.0,128.60556248537048,35.889459781600856,100
104109,0.0,128.60554995324787,35.88855833879783,100
104110,0.0,128.60553742168173,35.88765689585543,100
104111,0.0,128.60552489067214,35.886755452773635,100
104112,0.0,128.60551236021905,35.88585400955249,100
104113,10.0,128.6054998303225,35.88495256619195,100
104114,17.0,128.60548730098233,35.884051122692036,100
104115,0.0,128.60547477219865,35.883149679052764,100
104116,14.0,128.60546224397135,35.88224823527412,100
104117,13.0,128.60544971630046,35.88134679135611,100
104118,19.0,128.6054371891859,35.880445347298746,100
104119,16.0,128.60542466262768,35.879543903102004,100
104562,0.0,128.60672045605887,35.893055346938084,100
104563,0.0,128.6067079091564,35.892153905028565,100
104564,23.0,128.60669536281114,35.89125246297966,100
104565,1.0,128.60668281702308,35.89035102079137,100
104566,0.0,128.60667027179215,35.88944957846367,100
104567,0.0,128.60665772711837,35.88854813599659,100
104568,0.0,128.60664518300177,35.887646693390124,100
104569,0.0,128.60663263944218,35.886745250644275,100
104570,0.0,128.6066200964397,35.88584380775906,100
104571,0.0,128.60660755399428,35.88494236473445,100
104572,15.0,128.60659501210583,35.88404092157045,100
104573,5.0,128.6065824707744,35.88313947826709,100
104574,11.0,128.6065699299999,35.88223803482434,100
104575,31.0,128.60655738978235,35.881336591242224,100
104576,0.0,128.60654485012174,35.880435147520735,100
104577,15.0,128.60653231101801,35.87953370365989,100
105020,0.0,128.60782829213326,35.89304513224087,100
105021,12.0,128.60781573267744,35.892143690667666,100
105022,14.0,128.60780317377944,35.89124224895508,100
105023,0.0,128.6077906154392,35.89034080710307,100
105024,0.0,128.60777805765665,35.889439365111684,100
105025,0.0,128.60776550043184,35.8885379229809,100
105026,0.0,128.6077529437647,35.88763648071072,100
105027,0.0,128.6077403876552,35.886735038301154,100
105028,0.0,128.60772783210334,35.88583359575219,100
105029,0.0,128.60771527710904,35.88493215306384,100
105030,0.0,128.60770272267231,35.884030710236104,100
105031,20.0,128.60769016879314,35.88312926726898,100
105032,19.0,128.6076776154715,35.882227824162484,100
105033,17.0,128.60766506270738,35.88132638091659,100
105034,14.0,128.6076525105007,35.880424937531316,100
105035,3.0,128.60763995885145,35.87952349400667,100
105478,3.0,128.6089361276498,35.89303490732755,100
105479,11.0,128.6089235556407,35.892133466090996,100
105480,0.0,128.60891098419,35.89123202471506,100
105481,0.0,128.60889841329762,35.8903305831997,100
105482,0.0,128.60888584296347,35.889429141544944,100
105483,0.0,128.60887327318764,35.888527699750775,100
105484,0.0,128.60886070397,35.88762625781723,100
105485,0.0,128.60884813531058,35.88672481574426,100
105486,0.0,128.60883556720933,35.885823373531906,100
105487,0.0,128.60882299966622,35.884921931180145,100
105488,0.0,128.60881043268125,35.884020488689,100
105489,10.0,128.60879786625438,35.883119046058454,100
105490,10.0,128.6087853003856,35.88221760328852,100
